2023-05-03 21:44:50,429 INFO  CellAmbassador - Start Cell
2023-05-03 21:44:50,469 INFO  CellAmbassador - Using network config:
2023-05-03 21:44:50,470 INFO  CellAmbassador - org.eclipse.mosaic.fed.cell.config.model.CNetworkProperties@5626d18c[id=globalNetwork,uplink.delay=[delayType: ConstantDelay, delay: 100000000],uplink.capacity=28000000,downlink.unicast.delay=[delayType: ConstantDelay, delay: 100000000],downlink.multicast.delay=[delayType: ConstantDelay, delay: 100000000],downlink.multicast.usableCapacity=0.6,downlink.capacity=42200000]
2023-05-03 21:44:50,492 INFO  CellAmbassador - Using region config:
2023-05-03 21:44:50,492 INFO  CellAmbassador - 
2023-05-03 21:44:50,496 INFO  ChainManager - Initialize ChainManager
2023-05-03 21:44:50,496 INFO  ChainManager - Adding Module Upstream
2023-05-03 21:44:50,496 INFO  ChainManager - Adding Module Geocaster
2023-05-03 21:44:50,496 INFO  ChainManager - Adding Module Downstream
2023-05-03 21:44:50,496 INFO  CellAmbassador - Finished Initialization, waiting for Interactions...
2023-05-03 21:44:53,757 INFO  CellAmbassador - FinishSimulation
2023-05-03 21:44:53,757 INFO  ChainManager - [Upstream] Processed messages: 0
2023-05-03 21:44:53,757 INFO  ChainManager - [Geocaster] Processed messages: 0
2023-05-03 21:44:53,757 INFO  ChainManager - [Downstream] Processed messages: 0
