2023-11-20 21:28:07,502 INFO  ROOT - Running Eclipse MOSAIC 22.1 on Java JRE v17.0.7 (Eclipse Adoptium)
2023-11-20 21:28:07,565 INFO  MosaicStarter - Federate sumo: No port given. Using free port: 57223
2023-11-20 21:28:07,580 INFO  FederationManagement - Start federation with id 'UMassDart54'
2023-11-20 21:28:07,580 INFO  FederationManagement - Add ambassador/federate with id 'application'
2023-11-20 21:28:07,580 INFO  FederationManagement - Add ambassador/federate with id 'mapping'
2023-11-20 21:28:07,580 INFO  FederationManagement - Add ambassador/federate with id 'cell'
2023-11-20 21:28:07,580 INFO  FederationManagement - Add ambassador/federate with id 'sns'
2023-11-20 21:28:07,580 INFO  FederationManagement - Add ambassador/federate with id 'sumo'
2023-11-20 21:28:07,580 INFO  FederationManagement - Deploying federate 'sumo' locally in .\tmp\sumo
2023-11-20 21:28:07,580 INFO  FederationManagement - Starting federate 'sumo' locally in .\tmp\sumo
2023-11-20 21:28:07,580 INFO  FederationManagement - Add ambassador/federate with id 'output'
2023-11-20 21:28:07,580 INFO  OutputAmbassador - Initialize configuration of OutputAmbassador
2023-11-20 21:28:07,596 WARN  FileOutputLoader - decimalSeparator is required to be one character, defaulting to '.' as decimal separator.
2023-11-20 21:28:09,009 INFO  OutputAmbassador - Registered output generator 'websocket' for messages [RsuRegistration, VehicleRegistration, VehicleUpdates, V2xMessageReception, V2xMessageTransmission]. Update interval=1
2023-11-20 21:28:09,009 INFO  OutputAmbassador - Registered output generator 'fileoutput' for messages [VehicleRegistration, VehicleUpdates]. Update interval=5
2023-11-20 21:28:11,496 INFO  SequentialTimeManagement - Simulation ended after 600s of 600s (100%)
2023-11-20 21:28:11,496 INFO  SequentialTimeManagement - Started: 2023-11-20 21:28:09
2023-11-20 21:28:11,496 INFO  SequentialTimeManagement - Ended: 2023-11-20 21:28:11
2023-11-20 21:28:11,496 INFO  SequentialTimeManagement - Duration: 00h 00m 02.166s (RTF: 277.00)
2023-11-20 21:28:11,496 INFO  SequentialTimeManagement - 
2023-11-20 21:28:11,496 INFO  SequentialTimeManagement - Simulation finished: 101
